ps_number,mfg_part_number,name,brand,appliance_type,price,in_stock,rating,review_count,installation_difficulty,source_url
PS11748745,WPW10131124,Maytag Refrigerator Dispenser Actuator,Whirlpool,refrigerator,41.98,True,5.0,4,Really Easy,https://www.partselect.com/PS11748745-Whirlpool-WPW10131124-Dispenser-Actuator.htm
PS2060516,61005136,Maytag Refrigerator Door Front Pick-Off Shelf,Whirlpool,refrigerator,84.14,True,5.0,6,Really Easy,https://www.partselect.com/PS2060516-Whirlpool-61005136-Refrigerator-Door-Front-Pick-Off-Shelf.htm
PS11739203,WP2195915,Maytag Refrigerator Shelf End Cap - White,Whirlpool,refrigerator,17.83,True,3.7,3,,https://www.partselect.com/PS11739203-Whirlpool-WP2195915-Refrigerator-Shelf-End-Cap-White.htm
PS4138282,DA31-00010D,Maytag Refrigerator Fan Blade Assembly,Samsung,refrigerator,27.39,True,5.0,1,,https://www.partselect.com/PS4138282-Samsung-DA31-00010D-Fan-Blade-Assembly.htm
PS11739881,WP2254533W,"Maytag Refrigerator Handle, (White)",Whirlpool,refrigerator,109.58,True,5.0,1,,https://www.partselect.com/PS11739881-Whirlpool-WP2254533W-Handle-Refrigerator-White.htm
PS11738615,WP12781004W,Maytag Refrigerator Door Handle,Whirlpool,refrigerator,119.46,False,5.0,2,,https://www.partselect.com/PS11738615-Whirlpool-WP12781004W-Refrigerator-Door-Handle.htm
PS11743616,WP67005141,Maytag Refrigerator Freezer Door Handle,Whirlpool,refrigerator,87.96,True,4.2,5,Really Easy,https://www.partselect.com/PS11743616-Whirlpool-WP67005141-Freezer-Door-Handle.htm
PS11749673,WPW10179171,Maytag Refrigerator Handle,Whirlpool,refrigerator,128.69,True,,,,https://www.partselect.com/PS11749673-Whirlpool-WPW10179171-Handle.htm
PS12578586,W11229977,Maytag Refrigerator Water Reservoir,Whirlpool,refrigerator,96.33,True,,,,https://www.partselect.com/PS12578586-Whirlpool-W11229977-Refrigerator-Water-Reservoir.htm
PS11738660,WP12977502,Maytag Refrigerator BIN-CNTLV,Whirlpool,refrigerator,45.69,False,,,,https://www.partselect.com/PS11738660-Whirlpool-WP12977502-BIN-CNTLV.htm
